latitude,longitude,bikes_available
53.033019,18.599727,3
53.013489,18.571125,7
53.030117,18.58979,7
53.009622,18.600228,4
53.013655,18.612899,5
52.99555,18.616924,8
53.022897,18.583878,5
53.010124,18.584802,8
53.029537,18.653436,7
53.018852,18.591969,8
53.037219,18.657603,6
53.034691,18.612857,4
53.025994,18.633996,8
53.025309,18.601746,6
53.050109,18.603833,6
53.019546,18.623415,4
53.055472,18.617056,7
53.028683,18.692462,6
53.027355,18.665235,6
53.014522,18.5616,6
53.020554,18.570606,9
53.013617,18.580471,5
52.99384,18.593969,8
53.018989,18.580011,7
53.049682,18.578734,7
53.035522,18.599119,5
53.02348,18.659069,7
53.027043,18.679764,7
53.015872,18.601638,7
53.031525,18.610275,8
53.023882,18.61791,9
53.012029,18.596202,6
53.041102,18.598109,4
53.024134,18.609268,5
53.042366,18.580832,7
53.01726,18.571075,5
53.021252,18.613106,8
53.021725,18.59627,5
53.024468,18.638258,6
53.015745,18.607203,9
53.000452,18.613884,5
53.011939,18.611414,5
53.019033,18.518344,7
52.993479,18.629549,7
53.04035,18.624286,2
53.001641,18.701141,4
53.023772,18.675857,7
52.992563,18.600756,8
53.012702,18.619199,7
53.007485,18.600735,6
53.017646,18.635777,7
